#bin	bin_low_keV	bin_center_keV	bin_high_keV	counts	error	polarization	polarization_error
1	-0.416738	-0.393844	-0.370949	0.000000	0.000000	0.000000	0.000000
2	-0.370949	-0.348055	-0.325161	0.000000	0.000000	0.000000	0.000000
3	-0.325161	-0.302267	-0.279373	0.000000	0.000000	0.000000	0.000000
4	-0.279373	-0.256479	-0.233585	0.000000	0.000000	0.000000	0.000000
5	-0.233585	-0.210691	-0.187797	0.000000	0.000000	0.000000	0.000000
6	-0.187797	-0.164903	-0.142009	0.000000	0.000000	0.000000	0.000000
7	-0.142009	-0.119115	-0.096221	0.000000	0.000000	0.000000	0.000000
8	-0.096221	-0.073327	-0.050432	0.000000	0.000000	0.000000	0.000000
9	-0.050432	-0.027538	-0.004644	0.000000	0.000000	0.000000	0.000000
10	-0.004644	0.018250	0.041144	0.000000	0.000000	0.000000	0.000000
11	0.041144	0.064038	0.086932	0.000000	0.000000	0.000000	0.000000
12	0.086932	0.109826	0.132720	0.000000	0.000000	0.000000	0.000000
13	0.132720	0.155614	0.178508	0.000000	0.000000	0.000000	0.000000
14	0.178508	0.201402	0.224296	0.000000	0.000000	0.000000	0.000000
15	0.224296	0.247190	0.270085	0.000000	0.000000	0.000000	0.000000
16	0.270085	0.292979	0.315873	0.000000	0.000000	0.000000	0.000000
17	0.315873	0.338767	0.361661	0.000000	0.000000	0.000000	0.000000
18	0.361661	0.384555	0.407449	0.000000	0.000000	0.000000	0.000000
19	0.407449	0.430343	0.453237	0.000000	0.000000	0.000000	0.000000
20	0.453237	0.476131	0.499025	0.000000	0.000000	0.000000	0.000000
21	0.499025	0.521919	0.544813	0.000000	0.000000	0.000000	0.000000
22	0.544813	0.567707	0.590601	0.000000	0.000000	0.000000	0.000000
23	0.590601	0.613496	0.636390	0.000000	0.000000	0.000000	0.000000
24	0.636390	0.659284	0.682178	0.000000	0.000000	0.000000	0.000000
25	0.682178	0.705072	0.727966	0.000000	0.000000	0.000000	0.000000
26	0.727966	0.750860	0.773754	0.000000	0.000000	0.000000	0.000000
27	0.773754	0.796648	0.819542	0.000000	0.000000	0.000000	0.000000
28	0.819542	0.842436	0.865330	0.000000	0.000000	0.000000	0.000000
29	0.865330	0.888224	0.911118	0.000000	0.000000	0.000000	0.000000
30	0.911118	0.934013	0.956907	0.000000	0.000000	0.000000	0.000000
31	0.956907	0.979801	1.002695	0.000000	0.000000	0.000000	0.000000
32	1.002695	1.025589	1.048483	0.000000	0.000000	0.000000	0.000000
33	1.048483	1.071377	1.094271	0.000000	0.000000	0.000000	0.000000
34	1.094271	1.117165	1.140059	0.000000	0.000000	0.000000	0.000000
35	1.140059	1.162953	1.185847	0.000000	0.000000	0.000000	0.000000
36	1.185847	1.208741	1.231635	0.000000	0.000000	0.000000	0.000000
37	1.231635	1.254530	1.277424	0.000000	0.000000	0.000000	0.000000
38	1.277424	1.300318	1.323212	0.000000	0.000000	0.000000	0.000000
39	1.323212	1.346106	1.369000	137.000000	11.704700	0.000000	0.000000
40	1.369000	1.391894	1.414788	161.000000	12.688578	0.000000	0.000000
41	1.414788	1.437682	1.460576	174.000000	13.190906	0.000000	0.000000
42	1.460576	1.483470	1.506364	128.000000	11.313708	0.000000	0.000000
43	1.506364	1.529258	1.552152	118.000000	10.862780	0.000000	0.000000
44	1.552152	1.575047	1.597941	149.000000	12.206556	0.000000	0.000000
45	1.597941	1.620835	1.643729	141.000000	11.874342	0.000000	0.000000
46	1.643729	1.666623	1.689517	132.000000	11.489125	0.000000	0.000000
47	1.689517	1.712411	1.735305	146.000000	12.083046	0.000000	0.000000
48	1.735305	1.758199	1.781093	150.000000	12.247449	0.000000	0.000000
49	1.781093	1.803987	1.826881	142.000000	11.916375	0.000000	0.000000
50	1.826881	1.849775	1.872669	140.000000	11.832160	0.000000	0.000000
51	1.872669	1.895564	1.918458	133.000000	11.532563	0.000000	0.000000
52	1.918458	1.941352	1.964246	135.000000	11.618950	0.000000	0.000000
53	1.964246	1.987140	2.010034	120.000000	10.954451	0.000000	0.000000
54	2.010034	2.032928	2.055822	118.000000	10.862780	0.000000	0.000000
55	2.055822	2.078716	2.101610	142.000000	11.916375	0.000000	0.000000
56	2.101610	2.124504	2.147398	111.000000	10.535654	0.000000	0.000000
57	2.147398	2.170292	2.193186	121.000000	11.000000	0.000000	0.000000
58	2.193186	2.216080	2.238975	133.000000	11.532563	0.000000	0.000000
59	2.238975	2.261869	2.284763	128.000000	11.313708	0.000000	0.000000
60	2.284763	2.307657	2.330551	133.000000	11.532563	0.000000	0.000000
61	2.330551	2.353445	2.376339	122.000000	11.045361	0.000000	0.000000
62	2.376339	2.399233	2.422127	140.000000	11.832160	0.000000	0.000000
63	2.422127	2.445021	2.467915	126.000000	11.224972	0.000000	0.000000
64	2.467915	2.490809	2.513703	121.000000	11.000000	0.000000	0.000000
65	2.513703	2.536597	2.559492	122.000000	11.045361	0.000000	0.000000
66	2.559492	2.582386	2.605280	126.000000	11.224972	0.000000	0.000000
67	2.605280	2.628174	2.651068	116.000000	10.770330	0.000000	0.000000
68	2.651068	2.673962	2.696856	126.000000	11.224972	0.000000	0.000000
