#bin	bin_low_keV	bin_center_keV	bin_high_keV	counts	error	polarization	polarization_error
322	14.281256	14.304150	14.327044	132.000000	11.489125	0.519838	0.051984
323	14.327044	14.349938	14.372832	141.000000	11.874342	0.519838	0.051984
324	14.372832	14.395726	14.418620	127.000000	11.269428	0.519838	0.051984
325	14.418620	14.441514	14.464408	170.000000	13.038405	0.519838	0.051984
326	14.464408	14.487302	14.510196	124.000000	11.135529	0.519838	0.051984
327	14.510196	14.533090	14.555984	168.000000	12.961481	0.519838	0.051984
328	14.555984	14.578879	14.601773	166.000000	12.884099	0.519838	0.051984
329	14.601773	14.624667	14.647561	157.000000	12.529964	0.519838	0.051984
330	14.647561	14.670455	14.693349	161.000000	12.688578	0.519838	0.051984
331	14.693349	14.716243	14.739137	165.000000	12.845233	0.519838	0.051984
332	14.739137	14.762031	14.784925	203.000000	14.247807	0.519838	0.051984
333	14.784925	14.807819	14.830713	222.000000	14.899664	0.519838	0.051984
334	14.830713	14.853607	14.876501	215.000000	14.662878	0.519838	0.051984
335	14.876501	14.899395	14.922290	207.000000	14.387495	0.519838	0.051984
336	14.922290	14.945184	14.968078	220.000000	14.832397	0.519838	0.051984
337	14.968078	14.990972	15.013866	220.000000	14.832397	0.519838	0.051984
338	15.013866	15.036760	15.059654	229.000000	15.132746	0.519838	0.051984
339	15.059654	15.082548	15.105442	210.000000	14.491377	0.519838	0.051984
340	15.105442	15.128336	15.151230	210.000000	14.491377	0.519838	0.051984
341	15.151230	15.174124	15.197018	218.000000	14.764823	0.519838	0.051984
342	15.197018	15.219912	15.242807	221.000000	14.866069	0.519838	0.051984
343	15.242807	15.265701	15.288595	208.000000	14.422205	0.519838	0.051984
344	15.288595	15.311489	15.334383	194.000000	13.928388	0.519838	0.051984
345	15.334383	15.357277	15.380171	208.000000	14.422205	0.519838	0.051984
346	15.380171	15.403065	15.425959	238.000000	15.427249	0.519838	0.051984
347	15.425959	15.448853	15.471747	230.000000	15.165751	0.519838	0.051984
348	15.471747	15.494641	15.517535	234.000000	15.297059	0.519838	0.051984
349	15.517535	15.540429	15.563324	227.000000	15.066519	0.519838	0.051984
350	15.563324	15.586218	15.609112	231.000000	15.198684	0.519838	0.051984
351	15.609112	15.632006	15.654900	227.000000	15.066519	0.519838	0.051984
352	15.654900	15.677794	15.700688	248.000000	15.748016	0.519838	0.051984
353	15.700688	15.723582	15.746476	260.000000	16.124515	0.519838	0.051984
354	15.746476	15.769370	15.792264	219.000000	14.798649	0.519838	0.051984
355	15.792264	15.815158	15.838052	265.000000	16.278821	0.519838	0.051984
356	15.838052	15.860946	15.883841	238.000000	15.427249	0.519838	0.051984
357	15.883841	15.906735	15.929629	283.000000	16.822604	0.519838	0.051984
358	15.929629	15.952523	15.975417	262.000000	16.186414	0.519838	0.051984
359	15.975417	15.998311	16.021205	260.000000	16.124515	0.519838	0.051984
360	16.021205	16.044099	16.066993	272.000000	16.492423	0.519838	0.051984
361	16.066993	16.089887	16.112781	289.000000	17.000000	0.519838	0.051984
362	16.112781	16.135675	16.158569	309.000000	17.578396	0.519838	0.051984
363	16.158569	16.181463	16.204358	333.000000	18.248288	0.519838	0.051984
364	16.204358	16.227252	16.250146	361.000000	19.000000	0.519838	0.051984
365	16.250146	16.273040	16.295934	397.000000	19.924859	0.519838	0.051984
366	16.295934	16.318828	16.341722	411.000000	20.273135	0.519838	0.051984
367	16.341722	16.364616	16.387510	444.000000	21.071308	0.519838	0.051984
368	16.387510	16.410404	16.433298	513.000000	22.649503	0.519838	0.051984
369	16.433298	16.456192	16.479086	554.000000	23.537205	0.519838	0.051984
370	16.479086	16.501980	16.524874	592.000000	24.331050	0.519838	0.051984
371	16.524874	16.547769	16.570663	687.000000	26.210685	0.519838	0.051984
372	16.570663	16.593557	16.616451	775.000000	27.838822	0.519838	0.051984
373	16.616451	16.639345	16.662239	791.000000	28.124722	0.519838	0.051984
374	16.662239	16.685133	16.708027	920.000000	30.331502	0.519838	0.051984
375	16.708027	16.730921	16.753815	1014.000000	31.843367	0.519838	0.051984
376	16.753815	16.776709	16.799603	1155.000000	33.985291	0.519838	0.051984
377	16.799603	16.822497	16.845391	1166.000000	34.146742	0.519838	0.051984
378	16.845391	16.868286	16.891180	1318.000000	36.304270	0.519838	0.051984
379	16.891180	16.914074	16.936968	1362.000000	36.905284	0.519838	0.051984
380	16.936968	16.959862	16.982756	1476.000000	38.418745	0.519838	0.051984
381	16.982756	17.005650	17.028544	1608.000000	40.099875	0.519838	0.051984
382	17.028544	17.051438	17.074332	1792.000000	42.332021	0.519838	0.051984
383	17.074332	17.097226	17.120120	1999.000000	44.710178	0.519838	0.051984
384	17.120120	17.143014	17.165908	2437.000000	49.365980	0.519838	0.051984
385	17.165908	17.188803	17.211697	2876.000000	53.628351	0.519838	0.051984
386	17.211697	17.234591	17.257485	3489.000000	59.067758	0.519838	0.051984
387	17.257485	17.280379	17.303273	4004.000000	63.277168	0.519838	0.051984
388	17.303273	17.326167	17.349061	4588.000000	67.734777	0.519838	0.051984
389	17.349061	17.371955	17.394849	5266.000000	72.567210	0.519838	0.051984
390	17.394849	17.417743	17.440637	5502.000000	74.175468	0.519838	0.051984
391	17.440637	17.463531	17.486425	5430.000000	73.688534	0.519838	0.051984
392	17.486425	17.509320	17.532214	5299.000000	72.794231	0.519838	0.051984
393	17.532214	17.555108	17.578002	4991.000000	70.647010	0.519838	0.051984
394	17.578002	17.600896	17.623790	4364.000000	66.060578	0.519838	0.051984
395	17.623790	17.646684	17.669578	3668.000000	60.564016	0.519838	0.051984
396	17.669578	17.692472	17.715366	2903.000000	53.879495	0.519838	0.051984
397	17.715366	17.738260	17.761154	2229.000000	47.212287	0.519838	0.051984
398	17.761154	17.784048	17.806942	1683.000000	41.024383	0.519838	0.051984
399	17.806942	17.829837	17.852731	1319.000000	36.318040	0.519838	0.051984
400	17.852731	17.875625	17.898519	1028.000000	32.062439	0.519838	0.051984
401	17.898519	17.921413	17.944307	816.000000	28.565714	0.519838	0.051984
402	17.944307	17.967201	17.990095	689.000000	26.248809	0.519838	0.051984
403	17.990095	18.012989	18.035883	513.000000	22.649503	0.519838	0.051984
404	18.035883	18.058777	18.081671	521.000000	22.825424	0.519838	0.051984
405	18.081671	18.104565	18.127459	485.000000	22.022716	0.519838	0.051984
406	18.127459	18.150353	18.173248	495.000000	22.248595	0.519838	0.051984
407	18.173248	18.196142	18.219036	484.000000	22.000000	0.519838	0.051984
408	18.219036	18.241930	18.264824	493.000000	22.203603	0.519838	0.051984
409	18.264824	18.287718	18.310612	515.000000	22.693611	0.519838	0.051984
410	18.310612	18.333506	18.356400	541.000000	23.259407	0.519838	0.051984
411	18.356400	18.379294	18.402188	545.000000	23.345235	0.519838	0.051984
412	18.402188	18.425082	18.447976	563.000000	23.727621	0.519838	0.051984
413	18.447976	18.470870	18.493765	597.000000	24.433583	0.519838	0.051984
414	18.493765	18.516659	18.539553	607.000000	24.637370	0.519838	0.051984
415	18.539553	18.562447	18.585341	686.000000	26.191602	0.519838	0.051984
416	18.585341	18.608235	18.631129	720.000000	26.832816	0.519838	0.051984
417	18.631129	18.654023	18.676917	752.000000	27.422618	0.519838	0.051984
418	18.676917	18.699811	18.722705	762.000000	27.604347	0.519838	0.051984
419	18.722705	18.745599	18.768493	801.000000	28.301943	0.519838	0.051984
420	18.768493	18.791387	18.814282	860.000000	29.325757	0.519838	0.051984
421	18.814282	18.837176	18.860070	945.000000	30.740852	0.519838	0.051984
422	18.860070	18.882964	18.905858	850.000000	29.154759	0.519838	0.051984
423	18.905858	18.928752	18.951646	863.000000	29.376862	0.519838	0.051984
424	18.951646	18.974540	18.997434	854.000000	29.223278	0.519838	0.051984
425	18.997434	19.020328	19.043222	864.000000	29.393877	0.519838	0.051984
426	19.043222	19.066116	19.089010	885.000000	29.748950	0.519838	0.051984
427	19.089010	19.111904	19.134799	885.000000	29.748950	0.519838	0.051984
428	19.134799	19.157693	19.180587	900.000000	30.000000	0.519838	0.051984
429	19.180587	19.203481	19.226375	849.000000	29.137605	0.519838	0.051984
430	19.226375	19.249269	19.272163	817.000000	28.583212	0.519838	0.051984
431	19.272163	19.295057	19.317951	826.000000	28.740216	0.519838	0.051984
432	19.317951	19.340845	19.363739	767.000000	27.694765	0.519838	0.051984
433	19.363739	19.386633	19.409527	794.000000	28.178006	0.519838	0.051984
434	19.409527	19.432421	19.455316	837.000000	28.930952	0.519838	0.051984
435	19.455316	19.478210	19.501104	827.000000	28.757608	0.519838	0.051984
436	19.501104	19.523998	19.546892	881.000000	29.681644	0.519838	0.051984
437	19.546892	19.569786	19.592680	910.000000	30.166206	0.519838	0.051984
438	19.592680	19.615574	19.638468	870.000000	29.495762	0.519838	0.051984
439	19.638468	19.661362	19.684256	901.000000	30.016662	0.519838	0.051984
440	19.684256	19.707150	19.730044	875.000000	29.580399	0.519838	0.051984
441	19.730044	19.752938	19.775832	862.000000	29.359837	0.519838	0.051984
442	19.775832	19.798727	19.821621	779.000000	27.910571	0.519838	0.051984
443	19.821621	19.844515	19.867409	843.000000	29.034462	0.519838	0.051984
444	19.867409	19.890303	19.913197	799.000000	28.266588	0.519838	0.051984
445	19.913197	19.936091	19.958985	742.000000	27.239677	0.519838	0.051984
446	19.958985	19.981879	20.004773	721.000000	26.851443	0.519838	0.051984
447	20.004773	20.027667	20.050561	713.000000	26.702060	0.519838	0.051984
448	20.050561	20.073455	20.096349	713.000000	26.702060	0.519838	0.051984
449	20.096349	20.119244	20.142138	742.000000	27.239677	0.519838	0.051984
450	20.142138	20.165032	20.187926	660.000000	25.690465	0.519838	0.051984
451	20.187926	20.210820	20.233714	675.000000	25.980762	0.519838	0.051984
452	20.233714	20.256608	20.279502	706.000000	26.570661	0.519838	0.051984
453	20.279502	20.302396	20.325290	662.000000	25.729361	0.519838	0.051984
454	20.325290	20.348184	20.371078	701.000000	26.476405	0.519838	0.051984
455	20.371078	20.393972	20.416866	718.000000	26.795522	0.519838	0.051984
456	20.416866	20.439761	20.462655	696.000000	26.381812	0.519838	0.051984
457	20.462655	20.485549	20.508443	685.000000	26.172505	0.519838	0.051984
458	20.508443	20.531337	20.554231	721.000000	26.851443	0.519838	0.051984
